BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
363825,resolved:worksforme,sidhartha,birt,chart,uns,all,linux,P3,major,birtdatainbox,0
363903,new:---,johnmcteague,birt,reportengine,3.7,all,all,P3,major,birtreportengineinbox,1
363974,resolved:fixed,alkamarauskas,birt,build,uns,pc,windows 7,P3,normal,yongjiang,1
364169,closed:duplicate,bradjohnson,birt,reportviewer,uns,pc,windows 7,P3,major,birtreportviewer,0
364406,resolved:fixed,missingname,birt,reportengine,2.6,all,all,P3,normal,weiyan,1
364412,verified:worksforme,akshay.s86,birt,chart,3.7,pc,linux,P3,major,yulinwang,1
364570,new:---,teresafrias,birt,report,uns,all,all,P3,major,birtreportinbox,0
364631,verified:worksforme,julienb,birt,data,3.7,pc,windows xp,P3,normal,zhiqiangqian,1
364888,resolved:worksforme,sonalmisingname,birt,chart,3.7,pc,windows 7,P3,normal,birtchartinbox,0
365139,resolved:fixed,doninodonino,birt,reportengine,3.7,pc,windows 7,P3,normal,gangliu,1
365196,new:---,leonardo,birt,reportviewer,3.7,pc,all,P3,major,birtreportviewer,0
365364,resolved:fixed,missingnamemisingname,birt,chart,uns,macintosh,mac os x - carbon (unsup.),P3,normal,birtchartinbox,0
365395,new:---,yaytay,birt,dataaccess,3.7,pc,windows vista,P3,normal,mingxiawu,1
365398,new:---,yaytay,birt,reportdesigner,3.7,pc,windows vista,P3,enhancement,birtreportdesigner,0
365415,new:---,pdphilipp,birt,report,uns,pc,windows vista,P3,normal,birtreportinbox,0
365562,verified:fixed,doninodonino,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,0
365567,closed:duplicate,kaikremer,birt,report,3.7,pc,windows 7,P3,normal,birtreportinbox,0
365755,resolved:fixed,andrewoverholt,birt,build,uns,pc,linux,P3,normal,yongjiang,1
365797,new:---,remysuen,birt,reportdesigner,3.7,pc,windows 7,P3,normal,dazhenggao,1
365873,resolved:fixed,egau,birt,build,2.6,pc,windows 7,P3,blocker,yongjiang,1
366604,new:---,an,birt,data,uns,pc,windows 7,P3,major,birtdatainbox,0
366761,verified:worksforme,philfreeman,birt,reportdesigner,3.7,pc,windows 7,P3,normal,zhiqiangqian,1
366783,closed:wontfix,manu077,birt,data,uns,pc,all,P3,major,birtdatainbox,0
366787,new:---,timwinselmann,birt,data,2.6,all,all,P3,normal,birtdatainbox,0
366806,new:---,petercliff,birt,reportengine,uns,all,all,P3,enhancement,birtreportengineinbox,0
366907,resolved:fixed,mihailmihaylov,birt,data,uns,pc,windows 7,P3,enhancement,mingxiawu,1
366908,resolved:fixed,mihailmihaylov,birt,dataaccess,3.7,pc,windows 7,P3,enhancement,lindachan,1
366910,resolved:fixed,mihailmihaylov,birt,data,uns,pc,windows 7,P3,enhancement,linzhu,1
366911,resolved:fixed,mihailmihaylov,birt,data,uns,pc,windows 7,P3,enhancement,linzhu,1
366930,resolved:worksforme,richa,birt,reportdesigner,uns,pc,windows 7,P3,critical,birtreportdesigner,0
366945,resolved:wontfix,purcel,birt,reportviewer,3.7,pc,windows 7,P3,major,birtreportviewer,0
366966,resolved:fixed,mihailmihaylov,birt,build,uns,all,windows 7,P3,enhancement,xiaoyinggu,1
366970,new:---,markmisingname,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,0
367192,new:---,liviolazzeri,birt,reportengine,uns,pc,windows xp,P3,normal,birtreportengineinbox,0
367262,resolved:worksforme,latha,birt,reportdesigner,3.7,pc,windows xp,P3,major,birtreportdesigner,0
367339,verified:worksforme,marcnadeau,birt,reportengine,uns,pc,windows xp,P3,normal,jianchaoli,1
367347,new:---,ramsesgomez,birt,reportviewer,uns,pc,windows 7,P3,major,birtreportviewer,0
367384,resolved:worksforme,mikatapanainen,birt,documentation,uns,pc,windows 7,P3,normal,birtdocumentation,0
367386,resolved:worksforme,mikatapanainen,birt,documentation,uns,pc,windows 7,P3,normal,birtdocumentation,0
367578,new:---,aarondigulla,birt,build,4,all,all,P3,normal,birtbuild,0
367624,verified:fixed,michaltkacz,birt,data,uns,pc,linux,P3,normal,zhanglei,1
367713,resolved:fixed,krzysztofkazmierczyk,birt,reportengine,uns,pc,windows xp,P3,normal,birtreportengineinbox,1
367756,resolved:fixed,krzysztofkazmierczyk,birt,reportviewer,uns,pc,windows xp,P3,normal,xusongyuan,1
367847,resolved:worksforme,prashantjha,birt,reportdesigner,3.7,pc,windows xp,P3,normal,birtreportdesigner,0
367953,resolved:fixed,krzysztofkazmierczyk,birt,reportdesigner,uns,pc,windows xp,P3,trivial,dazhenggao,1
368070,closed:fixed,shanedodge,birt,chart,uns,pc,windows xp,P3,normal,hengli,1
368100,new:---,hendyirawan,birt,reportengine,3.7,pc,linux,P3,normal,birtreportengineinbox,0
368242,new:---,christianjacob,birt,reportviewer,uns,pc,windows xp,P3,normal,birtreportviewer,0
