CHG_PROJECT,CHG_COMPONENT,CHG_VERSION,CHG_HW,CHG_OS,CHG_PRIORITY,CHG_SEVERITY,CHG_ASSIGNEE,BUG_ID,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE
0,0,0,0,0,0,0,0,321494,vladimírhájek,birt,reportdesigner,uns,pc,windowsvista,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,321498,romainbioteau,birt,reportdesigner,2.5,pc,macosxcarbon(unsup.),P3,minor,birtreportdesignerinbox
0,0,0,0,0,0,0,0,321499,janlerby,birt,chart,uns,pc,windowsxp,P3,minor,birtchartinbox
0,0,0,0,0,0,0,0,321540,lindachan,birt,dataaccess,2.6,pc,windowsserver2003,P3,enhancement,birtdataaccessinbox
0,0,0,0,0,0,0,0,321543,wangqiangsheng,birt,build,uns,pc,windowsxp,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,321599,joedessey,birt,chart,2.6,pc,windowsxp,P3,major,birtchartinbox
0,0,0,0,0,0,0,0,321714,mickaelistria,birt,build,uns,pc,linux,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,321762,jasonweathersby,birt,reportdesigner,2.6,pc,windows7,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,321779,scottrosenbaum,birt,build,uns,pc,windows7,P3,minor,birtbuildinbox
0,0,0,0,0,0,0,0,322006,enricoschnepel,birt,chart,2.5,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,322215,vladimírhájek,birt,reportdesigner,uns,pc,windowsvista,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,322334,tec1,birt,reportdesigner,2.6,pc,windowsall,P3,critical,birtreportdesignerinbox
0,0,0,0,0,0,0,0,322346,xiaoxiaowu,birt,data,2.5,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,322347,xiaoxiaowu,birt,data,2.5,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,322512,xiaoxiaowu,birt,data,2.5,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,323142,frankgrimes,birt,build,2.6,pc,windowsvista,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,323214,pierrealainblanc,birt,reportengine,uns,other,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,323366,arco,birt,reportdesigner,uns,pc,windows7,P3,normal,birtreportdesignerinbox
0,1,0,0,0,0,0,1,323563,remo,birt,reportengine,2.5,pc,windowsxp,P3,blocker,birtreportengineinbox
